pattern,frame,time_s,n_cells,cells
1,880,29.3219,14,(0 3) (0 6) (0 7) (1 0) (1 6) (1 8) (2 4) (3 3) (4 3) (6 0) (7 2) (7 7) (8 2) (8 7)
2,886,29.5218,9,(0 1) (1 1) (1 6) (2 7) (4 4) (4 6) (6 1) (8 1) (8 8)
3,892,29.7218,11,(2 1) (2 7) (4 3) (5 0) (5 3) (5 5) (5 8) (6 1) (7 1) (7 2) (8 8)
4,896,29.8551,9,(0 5) (0 8) (1 7) (3 4) (6 1) (6 4) (7 2) (7 8) (8 3)
5,899,29.9551,4,(0 0) (0 5) (4 4) (6 1)
6,905,30.1551,8,(1 1) (1 2) (4 6) (5 0) (5 5) (6 1) (7 2) (8 1)
7,911,30.3551,9,(0 2) (0 8) (1 1) (1 2) (2 0) (5 8) (6 1) (7 1) (8 5)
8,917,30.5551,10,(0 5) (0 8) (1 0) (1 2) (2 0) (2 4) (2 8) (3 8) (4 5) (8 8)
9,923,30.7551,5,(0 7) (1 8) (7 1) (8 2) (8 5)
10,929,30.9551,8,(2 1) (2 7) (5 0) (6 4) (6 8) (7 6) (7 8) (8 2)
11,935,31.1551,10,(0 0) (0 5) (2 4) (5 0) (5 4) (5 8) (7 7) (8 0) (8 3) (8 5)
12,941,31.3551,8,(0 1) (0 8) (1 2) (1 8) (2 7) (6 8) (7 2) (8 7)
13,947,31.5551,15,(0 2) (1 1) (1 6) (2 1) (2 8) (3 4) (3 8) (5 8) (6 7) (7 0) (7 8) (8 0) (8 5) (8 6) (8 8)
14,953,31.7551,10,(0 0) (0 7) (4 2) (4 4) (4 6) (5 5) (6 7) (7 0) (7 8) (8 5)
15,959,31.9551,11,(0 5) (1 0) (1 1) (1 6) (3 0) (3 3) (3 4) (4 3) (4 5) (7 7) (8 8)
16,965,32.1551,12,(0 2) (0 8) (1 6) (1 8) (2 7) (2 8) (3 3) (4 6) (6 4) (6 7) (7 0) (8 7)
17,971,32.3551,9,(1 0) (1 1) (3 0) (3 5) (3 8) (4 4) (5 3) (6 0) (7 7)
18,977,32.5551,10,(1 6) (2 7) (3 3) (3 4) (4 5) (5 5) (5 8) (7 0) (8 2) (8 6)
19,986,32.8551,9,(0 2) (0 5) (2 7) (5 8) (6 0) (7 0) (7 2) (8 3) (8 5)
20,989,32.9551,6,(0 5) (3 0) (5 4) (5 5) (6 1) (6 7)
21,995,33.1551,10,(0 2) (1 0) (1 1) (2 0) (2 1) (4 3) (5 0) (7 0) (7 7) (8 6)
22,1001,33.3551,8,(1 7) (3 4) (3 8) (5 3) (6 0) (6 1) (7 2) (8 6)
23,1007,33.5551,9,(1 2) (1 8) (2 7) (3 3) (3 8) (4 2) (4 5) (6 8) (7 2)
24,1013,33.7551,4,(1 8) (3 3) (7 7) (8 8)
25,1019,33.9551,12,(0 2) (2 0) (2 7) (3 4) (4 4) (4 5) (5 8) (6 8) (7 2) (8 2) (8 3) (8 6)
26,1026,34.1884,8,(0 7) (0 8) (4 2) (4 3) (6 7) (7 0) (7 2) (7 8)
27,1031,34.3551,12,(0 0) (0 2) (1 0) (2 1) (4 3) (4 6) (6 0) (6 1) (6 4) (6 7) (7 1) (8 2)
28,1037,34.5551,7,(1 6) (2 8) (3 0) (3 3) (6 0) (6 8) (8 1)
29,1043,34.7551,6,(0 1) (0 6) (1 0) (4 2) (6 4) (7 2)
30,1049,34.9551,9,(0 5) (1 6) (2 1) (3 3) (4 3) (7 2) (8 2) (8 5) (8 7)
31,1055,35.1551,6,(2 7) (3 4) (3 5) (3 8) (7 8) (8 2)
32,1061,35.3551,12,(0 0) (1 2) (2 7) (4 5) (5 4) (6 1) (7 2) (7 6) (8 1) (8 2) (8 6) (8 8)
33,1067,35.5551,13,(0 2) (0 5) (0 7) (1 1) (1 6) (2 1) (2 8) (3 3) (3 8) (5 4) (7 0) (7 2) (8 2)
34,1073,35.7551,13,(1 0) (1 6) (1 7) (2 4) (2 8) (3 4) (4 2) (4 3) (5 5) (7 1) (8 2) (8 6) (8 7)
35,1079,35.9551,10,(0 1) (1 1) (1 7) (2 1) (2 4) (2 7) (3 4) (3 5) (4 6) (6 1)
36,1085,36.1551,9,(0 1) (0 7) (1 0) (1 6) (5 5) (6 4) (6 8) (7 0) (8 6)
